abspos	chromosome_name	start_position	end_position	ensembl_gene_id	hgnc_symbol	band
29	492233	1	491225	493241	ENSG00000250575	RP4-669L17.8	p36.33
30	516427	1	516376	516479	ENSG00000278757	RF00026	p36.33
31	706933	1	586071	827796	ENSG00000230021	RP11-206L10.17	p36.33
32	591198	1	587629	594768	ENSG00000235146	RP5-857K21.2	p36.33
33	629247	1	629062	629433	ENSG00000225972	RP5-857K21.9	p36.33
34	630161	1	629640	630683	ENSG00000225630	RP5-857K21.8	p36.33
35	631845	1	631074	632616	ENSG00000237973	RP5-857K21.6	p36.33
36	632369	1	632325	632413	ENSG00000278791	MIR6723	p36.33
37	633097	1	632757	633438	ENSG00000229344	RP5-857K21.7	p36.33
38	633638	1	633535	633741	ENSG00000240409	RP5-857K21.14	p36.33
39	634036	1	633696	634376	ENSG00000248527	RP5-857K21.10	p36.33
40	634649	1	634376	634922	ENSG00000198744	RP5-857K21.11	p36.33
41	675053	1	674842	675265	ENSG00000268663	RP5-857K21.12	p36.33
42	686176	1	685679	686673	ENSG00000284662	OR4F16	p36.33
43	723497	1	722092	724903	ENSG00000229376	RP11-206L10.15	p36.33
44	752255	1	725885	778626	ENSG00000228327	RP11-206L10.2	p36.33
45	758284	1	758233	758336	ENSG00000223181	RNU6-1199P	p36.33
46	761450	1	760911	761989	ENSG00000229905	RP11-206L10.4	p36.33
47	794415	1	778770	810060	ENSG00000237491	RP11-206L10.9	p36.33
48	781993	1	781937	782050	ENSG00000285268	RP11-206L10.18	p36.33
49	809295	1	800879	817712	ENSG00000230092	RP11-206L10.8	p36.33
50	818604	1	817371	819837	ENSG00000177757	FAM87B	p36.33
51	842292	1	825138	859446	ENSG00000228794	RP11-206L10.11	p36.33
52	826864	1	826206	827522	ENSG00000225880	NCRNA00115	p36.33
53	872487	1	868071	876903	ENSG00000230368	FAM41C	p36.33
54	873820	1	873292	874349	ENSG00000234711	TUBB8P11	p36.33
55	875881	1	874529	877234	ENSG00000283040	FAM166AP3	p36.33
56	910405	1	904834	915976	ENSG00000272438	RP11-54O7.16	p36.33
57	913191	1	911435	914948	ENSG00000230699	RP11-54O7.1	p36.33
58	914571	1	914171	914971	ENSG00000241180	RP11-54O7.2	p36.33
59	918940	1	916865	921016	ENSG00000223764	RP11-54O7.3	p36.33
60	934254	1	923928	944581	ENSG00000187634	SAMD11	p36.33
61	951756	1	944204	959309	ENSG00000188976	NOC2L	p36.33
62	963151	1	960587	965715	ENSG00000187961	KLHL17	p36.33
63	971181	1	966497	975865	ENSG00000187583	PLEKHN1	p36.33
64	978648	1	975204	982093	ENSG00000187642	PERM1	p36.33
65	997008	1	995966	998051	ENSG00000272512	RP11-54O7.17	p36.33
66	999567	1	998962	1000172	ENSG00000188290	HES4	p36.33
67	1007839	1	1001138	1014541	ENSG00000187608	ISG15	p36.33
68	1008152	1	1008076	1008229	ENSG00000231702	RP11-54O7.10	p36.33
69	1012595	1	1011997	1013193	ENSG00000224969	RP11-54O7.11	p36.33
70	1038120	1	1020123	1056118	ENSG00000188157	AGRN	p36.33
71	1055574	1	1055033	1056116	ENSG00000242590	RP11-54O7.14	p36.33
72	1064544	1	1059734	1069355	ENSG00000217801	RP11-465B22.3	p36.33
73	1062748	1	1062208	1063288	ENSG00000273443	RP11-54O7.18	p36.33
74	1072636	1	1070966	1074307	ENSG00000237330	RNF223	p36.33
75	1099089	1	1081818	1116361	ENSG00000131591	C1orf159	p36.33
76	1140536	1	1137017	1144056	ENSG00000223823	RP11-465B22.5	p36.33
77	1167151	1	1167104	1167198	ENSG00000207730	MIR200B	p36.33
78	1167907	1	1167863	1167952	ENSG00000207607	MIR200A	p36.33
79	1169046	1	1169005	1169087	ENSG00000198976	MIR429	p36.33
80	1169850	1	1169357	1170343	ENSG00000272141	RP11-465B22.8	p36.33
81	1176305	1	1173056	1179555	ENSG00000205231	RP11-465B22.6	p36.33
82	1185909	1	1173884	1197935	ENSG00000162571	TTLL10	p36.33
83	1205099	1	1203508	1206691	ENSG00000186891	TNFRSF18	p36.33
84	1212732	1	1211326	1214138	ENSG00000186827	TNFRSF4	p36.33
85	1224469	1	1216908	1232031	ENSG00000078808	SDF4	p36.33
86	1233653	1	1232265	1235041	ENSG00000176022	B3GALT6	p36.33
87	1244584	1	1242446	1246722	ENSG00000184163	C1QTNF12	p36.33
88	1250555	1	1249777	1251334	ENSG00000260179	RP5-902P8.12	p36.33
89	1263897	1	1253909	1273885	ENSG00000160087	UBE2J2	p36.33
90	1277821	1	1275223	1280420	ENSG00000230415	RP5-902P8.10	p36.33
91	1286232	1	1280436	1292029	ENSG00000162572	SCNN1D	p36.33
92	1300992	1	1292376	1309609	ENSG00000131584	ACAP3	p36.33
93	1296140	1	1296110	1296170	ENSG00000278073	MIR6726	p36.33
94	1310122	1	1308567	1311677	ENSG00000169972	PUSL1	p36.33
95	1318138	1	1311585	1324691	ENSG00000127054	INTS11	p36.33
96	1312534	1	1312502	1312566	ENSG00000283712	MIR6727	p36.33
97	1318135	1	1317581	1318689	ENSG00000240731	RP5-890O3.9	p36.33
98	1326826	1	1324756	1328897	ENSG00000224051	CPTP	p36.33
99	1333310	1	1331314	1335306	ENSG00000169962	TAS1R3	p36.33
100	1342313	1	1335276	1349350	ENSG00000107404	DVL1	p36.33
101	1339679	1	1339650	1339708	ENSG00000284372	MIR6808	p36.33
102	1357233	1	1352689	1361777	ENSG00000162576	MXRA8	p36.33
103	1374612	1	1373730	1375495	ENSG00000175756	AURKAIP1	p36.33
104	1378849	1	1378666	1379032	ENSG00000223663	RP5-890O3.3	p36.33
105	1392519	1	1385711	1399328	ENSG00000221978	CCNL2	p36.33
106	1400784	1	1399522	1402046	ENSG00000224870	RP4-758J18.2	p36.33
107	1404610	1	1401908	1407313	ENSG00000242485	MRPL20	p36.33
108	1405606	1	1405460	1405752	ENSG00000264293	RN7SL657P	p36.33
109	1409857	1	1409096	1410618	ENSG00000272455	RP4-758J18.13	p36.33
110	1420094	1	1418420	1421769	ENSG00000235098	ANKRD65	p36.33
111	1421468	1	1420245	1422691	ENSG00000225905	RP4-758J18.7	p36.33
112	1426957	1	1426128	1427787	ENSG00000205116	TMEM88B	p36.33
113	1432556	1	1430539	1434573	ENSG00000225285	RP4-758J18.10	p36.33
114	1438871	1	1434861	1442882	ENSG00000179403	VWA1	p36.33
115	1459923	1	1449689	1470158	ENSG00000215915	ATAD3C	p36.33
116	1484808	1	1471769	1497848	ENSG00000160072	ATAD3B	p36.33
117	1506351	1	1503250	1509452	ENSG00000284740	RP5-832C2.8	p36.33
118	1523419	1	1512151	1534687	ENSG00000197785	ATAD3A	p36.33
119	1537813	1	1535174	1540453	ENSG00000205090	TMEM240	p36.33
120	1558271	1	1541673	1574869	ENSG00000160075	SSU72	p36.33
121	1576025	1	1574975	1577075	ENSG00000215014	RP5-832C2.5	p36.33
122	1583709	1	1583510	1583909	ENSG00000274481	RP11-345P4.11	p36.33
123	1599054	1	1598012	1600096	ENSG00000228594	C1orf233	p36.33
124	1614776	1	1613758	1615795	ENSG00000272106	RP11-345P4.9	p36.33
125	1623012	1	1615415	1630610	ENSG00000197530	MIB2	p36.33
126	1633679	1	1632095	1635263	ENSG00000189409	MMP23B	p36.33
127	1647119	1	1635227	1659012	ENSG00000248333	CDK11B	p36.33
128	1660963	1	1659325	1662602	ENSG00000272004	RP11-345P4.10	p36.33
129	1676128	1	1659529	1692728	ENSG00000189339	SLC35E2B	p36.33
130	1673193	1	1671990	1674397	ENSG00000269737	RP11-345P4.6	p36.33
131	1700862	1	1699942	1701782	ENSG00000215914	MMP23A	p36.33
132	1713527	1	1702730	1724324	ENSG00000008128	CDK11A	p36.33
133	1720212	1	1702736	1737688	ENSG00000268575	RP1-283E3.8	p36.33
134	1730881	1	1724512	1737251	ENSG00000227775	RP1-283E3.4	p36.33
135	1735418	1	1724838	1745999	ENSG00000215790	SLC35E2	p36.33
136	1765844	1	1751232	1780457	ENSG00000008130	NADK	p36.33
137	1838201	1	1785285	1891117	ENSG00000078369	GNB1	p36.33
138	1892064	1	1891471	1892658	ENSG00000231050	RP1-140A9.1	p36.33
139	1916061	1	1914827	1917296	ENSG00000169885	CALML6	p36.33
140	1918431	1	1917590	1919273	ENSG00000178821	TMEM52	p36.33
141	1962894	1	1921951	2003837	ENSG00000142609	CFAP74	p36.33
142	2014371	1	2013213	2015530	ENSG00000233542	RP11-547D24.1	p36.33
143	2025028	1	2019298	2030758	ENSG00000187730	GABRD	p36.33
144	2049636	1	2049203	2050070	ENSG00000226969	RP11-547D24.3	p36.33
145	2117932	1	2050470	2185395	ENSG00000067606	PRKCZ	p36.33
146	2143181	1	2141084	2145279	ENSG00000271806	RP5-892K4.1	p36.33
147	2183091	1	2181794	2184389	ENSG00000182873	RP11-181G12.2	p36.33
148	2198590	1	2184461	2212720	ENSG00000162585	FAAP20	p36.33
149	2216630	1	2212523	2220738	ENSG00000234396	RP11-181G12.4	p36.33
150	2269407	1	2228695	2310119	ENSG00000157933	SKI	p36.33
151	2356480	1	2321253	2391707	ENSG00000116151	MORN1	p36.32
152	2326447	1	2326201	2326693	ENSG00000272161	RP4-713A8.1	p36.32
153	2351617	1	2350414	2352820	ENSG00000269896	RP4-740C4.5	p36.32
154	2363344	1	2363061	2363628	ENSG00000272420	RP4-740C4.7	p36.32
155	2398609	1	2391775	2405444	ENSG00000157916	RER1	p36.32
156	2408880	1	2403964	2413797	ENSG00000157911	PEX10	p36.32
157	2465755	1	2425980	2505530	ENSG00000149527	PLCH2	p36.32
158	2492779	1	2492300	2493258	ENSG00000224387	RP3-395M20.2	p36.32
159	2493958	1	2493437	2494479	ENSG00000229393	RP3-395M20.3	p36.32
160	2517580	1	2508533	2526628	ENSG00000157881	PANK4	p36.32
161	2529495	1	2528745	2530245	ENSG00000197921	HES5	p36.32
162	2538762	1	2530064	2547460	ENSG00000272449	RP3-395M20.12	p36.32
163	2553475	1	2549920	2557031	ENSG00000238164	RP3-395M20.8	p36.32
164	2560510	1	2555639	2565382	ENSG00000157873	TNFRSF14	p36.32
165	2568149	1	2566410	2569888	ENSG00000225931	RP3-395M20.7	p36.32
166	2583046	1	2581560	2584533	ENSG00000228037	RP3-395M20.9	p36.32
167	2588980	1	2586491	2591469	ENSG00000157870	FAM213B	p36.32
168	2611814	1	2590639	2632990	ENSG00000142606	MMEL1	p36.32
169	2634594	1	2632568	2636620	ENSG00000237058	RP13-436F16.1	p36.32
170	2718846	1	2635976	2801717	ENSG00000215912	TTC34	p36.32
171	2775038	1	2773603	2776473	ENSG00000283259	ABC14-1188822O7.1	p36.32
172	2812271	1	2811850	2812692	ENSG00000233234	RP11-740P5.2	p36.32
173	2814715	1	2814432	2814998	ENSG00000231630	RP11-740P5.3	p36.32
174	2964682	1	2960658	2968707	ENSG00000284745	RP5-907A6.1	p36.32
175	3022193	1	3021483	3022903	ENSG00000169717	ACTRT2	p36.32
176	3064026	1	3059615	3068437	ENSG00000177133	RP1-163G9.1	p36.32
177	3253894	1	3069168	3438621	ENSG00000142611	PRDM16	p36.32
178	3128005	1	3127975	3128035	ENSG00000283572	MIR4251	p36.32
179	3133318	1	3132927	3133709	ENSG00000226286	RP1-163G9.2	p36.32
180	3207326	1	3205988	3208664	ENSG00000279839	RP11-193J6.1	p36.32
181	3308366	1	3306636	3310096	ENSG00000272235	RP11-22L13.1	p36.32
182	3467769	1	3454426	3481113	ENSG00000130762	ARHGEF16	p36.32
183	3487436	1	3487246	3487627	ENSG00000272088	RP11-168F9.2	p36.32
184	3550707	1	3489920	3611495	ENSG00000162591	MEGF6	p36.32
185	3560742	1	3560695	3560790	ENSG00000207776	MIR551A	p36.32
186	3623966	1	3623190	3624743	ENSG00000238260	RP11-46F15.2	p36.32
187	3627564	1	3625002	3630127	ENSG00000158109	TPRG1L	p36.32
188	3641764	1	3630767	3652761	ENSG00000116213	WRAP73	p36.32
189	3694360	1	3652520	3736201	ENSG00000078900	TP73	p36.32
190	3663855	1	3658938	3668772	ENSG00000227589	RP5-1092A11.5	p36.32
191	3713249	1	3712200	3714298	ENSG00000235131	RP5-1092A11.2	p36.32
192	3741468	1	3735601	3747336	ENSG00000227372	TP73-AS1	p36.32
193	3737023	1	3736943	3737103	ENSG00000276189	RF02197	p36.32
194	3759052	1	3746460	3771645	ENSG00000162592	CCDC27	p36.32
195	3774371	1	3772761	3775982	ENSG00000235169	SMIM1	p36.32
196	3787531	1	3778558	3796504	ENSG00000130764	LRRC47	p36.32
197	3782963	1	3782815	3783111	ENSG00000266075	RN7SL574P	p36.32
198	3785273	1	3785008	3785538	ENSG00000272153	RP1-286D6.5	p36.32
199	3834647	1	3812081	3857214	ENSG00000116198	CEP104	p36.32
200	3871348	1	3857267	3885429	ENSG00000169598	DFFB	p36.32
201	3894709	1	3889125	3900293	ENSG00000198912	C1orf174	p36.32
202	3908798	1	3900372	3917225	ENSG00000236423	RP13-15E13.1	p36.32
203	3947913	1	3940565	3955262	ENSG00000233304	RP13-614K11.1	p36.32
204	3946763	1	3944547	3948980	ENSG00000226374	RP13-614K11.2	p36.32
205	3994416	1	3976133	4012699	ENSG00000284668	RP11-718D19.1	p36.32
206	4016214	1	4012921	4019508	ENSG00000284703	RP11-718D19.2	p36.32
207	4175713	1	4175528	4175899	ENSG00000229280	RP11-374C13.1	p36.32
208	4418358	1	4412027	4424689	ENSG00000235054	RP5-1166F10.1	p36.32
209	4481753	1	4479131	4484375	ENSG00000284694	RP5-1166F10.2	p36.32
210	4551940	1	4551735	4552145	ENSG00000227169	RP1-37J18.1	p36.32
211	4582745	1	4571481	4594009	ENSG00000232596	RP1-37J18.2	p36.32
212	4723633	1	4654732	4792534	ENSG00000196581	AJAP1	p36.32
213	4968626	1	4963954	4973298	ENSG00000284739	RP4-603B14.2	p36.32
214	4977474	1	4973381	4981568	ENSG00000284674	RP4-603B14.1	p36.32
215	5088679	1	5086459	5090899	ENSG00000231510	RP11-542C10.1	p36.32
216	5304661	1	5301928	5307394	ENSG00000284616	RP4-703E10.1	p36.31
217	5485896	1	5478736	5493057	ENSG00000284692	RP1-58B11.2	p36.31
218	5481407	1	5480787	5482028	ENSG00000284666	RP1-58B11.3	p36.31
219	5493826	1	5492978	5494674	ENSG00000260972	RP1-58B11.1	p36.31
220	5554814	1	5554747	5554881	ENSG00000283356	RP3-491M17.1	p36.31
221	5615002	1	5561709	5668295	ENSG00000236948	RP11-154H17.1	p36.31
222	5564107	1	5564071	5564143	ENSG00000264341	MIR4417	p36.31
223	5862706	1	5862672	5862741	ENSG00000264101	MIR4689	p36.31
224	5927642	1	5862811	5992473	ENSG00000131697	NPHP4	p36.31
225	6046329	1	5991466	6101193	ENSG00000069424	KCNAB2	p36.31
226	6140958	1	6101793	6180123	ENSG00000116254	CHD5	p36.31
227	6195329	1	6181269	6209389	ENSG00000116251	RPL22	p36.31
228	6205310	1	6204840	6205780	ENSG00000226944	RP1-120G22.11	p36.31
229	6213387	1	6205475	6221299	ENSG00000158286	RNF207	p36.31
230	6228582	1	6221193	6235972	ENSG00000116237	ICMT	p36.31
231	6237842	1	6236240	6239444	ENSG00000225077	LINC00337	p36.31
232	6244885	1	6244192	6245578	ENSG00000173673	HES3	p36.31
233	6254160	1	6247346	6260975	ENSG00000158292	GPR153	p36.31
234	6329330	1	6264269	6394391	ENSG00000097021	ACOT7	p36.31
235	6393973	1	6393555	6394391	ENSG00000271746	RP1-202O8.3	p36.31
236	6418544	1	6412418	6424670	ENSG00000069812	HES2	p36.31
237	6443071	1	6424776	6461367	ENSG00000187017	ESPN	p36.31
238	6429865	1	6429834	6429896	ENSG00000265392	MIR4252	p36.31
239	6445020	1	6443034	6447006	ENSG00000231868	RP1-202O8.2	p36.31
240	6463673	1	6461151	6466195	ENSG00000215788	TNFRSF25	p36.31
241	6493076	1	6466092	6520061	ENSG00000171680	PLEKHG5	p36.31
242	6537941	1	6521347	6554535	ENSG00000162408	NOL9	p36.31
243	6540909	1	6540854	6540964	ENSG00000253022	RNU6-731P	p36.31
244	6548262	1	6547905	6548619	ENSG00000229519	RP11-58A11.2	p36.31
245	6567469	1	6555181	6579757	ENSG00000173662	TAS1R1	p36.31
246	6584640	1	6580001	6589280	ENSG00000204859	ZBTB48	p36.31
247	6602665	1	6590724	6614607	ENSG00000162413	KLHL21	p36.31
248	6618859	1	6613685	6624033	ENSG00000116273	PHF13	p36.31
249	6630226	1	6624866	6635586	ENSG00000041988	THAP3	p36.31
250	6668046	1	6634168	6701924	ENSG00000007923	DNAJC11	p36.31
251	6727324	1	6724637	6730012	ENSG00000228750	RP11-242F24.1	p36.31
252	6768996	1	6767954	6770038	ENSG00000284744	RP11-242F24.2	p36.31
253	6784367	1	6783892	6784843	ENSG00000237436	RP11-312B8.1	p36.31
254	7277515	1	6785324	7769706	ENSG00000171735	CAMTA1	p36.31
255	6834475	1	6834333	6834618	ENSG00000227950	RP11-312B8.2	p36.31
256	7011327	1	7008376	7014279	ENSG00000237365	RP11-334N17.1	p36.31
257	7219442	1	7219360	7219524	ENSG00000207056	RNU1-8P	p36.23
258	7369606	1	7368942	7370270	ENSG00000237402	RP3-453P22.1	p36.23
259	7386120	1	7382487	7389754	ENSG00000237728	RP3-453P22.2	p36.23
260	7441325	1	7441096	7441554	ENSG00000225126	RP4-549F15.1	p36.23
261	7693984	1	7693124	7694844	ENSG00000270171	RP11-338N10.1	p36.23
262	7698587	1	7698303	7698872	ENSG00000270035	RP11-338N10.2	p36.23
263	7700837	1	7700704	7700970	ENSG00000269978	RP11-338N10.3	p36.23
264	7776350	1	7771269	7781432	ENSG00000049245	VAMP3	p36.23
265	7776579	1	7776383	7776775	ENSG00000269925	RP3-467L1.6	p36.23
266	7814748	1	7784320	7845177	ENSG00000049246	PER3	p36.23
267	7818792	1	7810242	7827342	ENSG00000236266	RP3-467L1.4	p36.23
268	7848297	1	7843083	7853512	ENSG00000049247	UTS2	p36.23
269	7929529	1	7915894	7943165	ENSG00000049249	TNFRSF9	p36.23
270	7942549	1	7942372	7942726	ENSG00000270330	RP5-892F13.2	p36.23
271	7969898	1	7954291	7985505	ENSG00000116288	PARK7	p36.23
272	7982932	1	7982881	7982983	ENSG00000200344	RF00019	p36.23
273	7998223	1	7991134	8005312	ENSG00000284747	CTA-215D11.6	p36.23
274	7999060	1	7998187	7999934	ENSG00000284716	CTA-215D11.5	p36.23
275	8015356	1	8004404	8026308	ENSG00000116285	ERRFI1	p36.23
276	8074720	1	8026738	8122702	ENSG00000238290	RP11-431K24.1	p36.23
277	8057854	1	8057245	8058463	ENSG00000232848	CTA-215D11.4	p36.23
278	8191297	1	8189824	8192770	ENSG00000229305	RP11-431K24.2	p36.23
279	8208819	1	8202429	8215210	ENSG00000227634	RP11-431K24.3	p36.23
280	8206515	1	8206434	8206597	ENSG00000200975	RNU1-7P	p36.23
281	8219359	1	8218190	8220529	ENSG00000233645	RP11-431K24.4	p36.23
282	8292210	1	8292157	8292263	ENSG00000251977	RNU6-991P	p36.23
283	8330996	1	8317826	8344167	ENSG00000162426	SLC45A1	p36.23
284	8585020	1	8352397	8817643	ENSG00000142599	RERE	p36.23
285	8429741	1	8424645	8434838	ENSG00000232912	RP5-1115A15.1	p36.23
286	8511857	1	8511795	8511919	ENSG00000221083	RF00599	p36.23
287	8512837	1	8512653	8513021	ENSG00000270282	RP5-1115A15.2	p36.23
288	8750758	1	8750430	8751087	ENSG00000234619	RP4-633I8.1	p36.23
289	8786562	1	8786211	8786913	ENSG00000224315	RP4-633I8.2	p36.23
290	8798990	1	8798475	8799506	ENSG00000226545	RP4-633I8.3	p36.23
291	8806455	1	8805860	8807051	ENSG00000228423	RP4-633I8.4	p36.23
292	8831191	1	8831007	8831375	ENSG00000229716	RP11-185B14.1	p36.23
293	8870125	1	8861000	8879250	ENSG00000074800	ENO1	p36.23
294	8866546	1	8866502	8866590	ENSG00000274258	MIR6728	p36.23
295	8879364	1	8878835	8879894	ENSG00000230679	RP3-477M7.3	p36.23
296	8883480	1	8883427	8883533	ENSG00000201725	RNU6-304P	p36.23
297	8893780	1	8893409	8894151	ENSG00000238249	RP3-477M7.4	p36.23
298	8907568	1	8907393	8907744	ENSG00000232208	RP3-477M7.5	p36.23
299	8909823	1	8909742	8909904	ENSG00000232663	RP3-477M7.6	p36.23
300	8960479	1	8945867	8975092	ENSG00000131686	CA6	p36.23
301	8979725	1	8979576	8979874	ENSG00000265141	RN7SL451P	p36.23
302	9014822	1	9003300	9026345	ENSG00000197241	SLC2A7	p36.23
303	9061792	1	9035107	9088478	ENSG00000142583	SLC2A5	p36.23
304	9082787	1	9082696	9082879	ENSG00000252404	RF00424	p36.23
305	9114737	1	9100305	9129170	ENSG00000180758	GPR157	p36.22
306	9173458	1	9148011	9198906	ENSG00000228526	MIR34AHG	p36.22
307	9151722	1	9151668	9151777	ENSG00000284357	MIR34A	p36.22
308	9189144	1	9182004	9196284	ENSG00000234546	RP3-510D11.2	p36.22
309	9253056	1	9234775	9271337	ENSG00000049239	H6PD	p36.22
310	9331206	1	9292880	9369532	ENSG00000171621	SPSB1	p36.22
311	9421980	1	9421098	9422862	ENSG00000284652	CTD-2510L9.2	p36.22
312	9432829	1	9425094	9440564	ENSG00000284693	CTD-2510L9.1	p36.22
313	9437723	1	9437669	9437778	ENSG00000252956	RNA5SP40	p36.22
314	9502281	1	9501092	9503471	ENSG00000235263	RP13-392I16.1	p36.22
315	9562330	1	9539482	9585179	ENSG00000171612	SLC25A33	p36.22
316	9576706	1	9576427	9576985	ENSG00000231181	RP13-15M17.1	p36.22
317	9601897	1	9588922	9614873	ENSG00000188807	TMEM201	p36.22
318	9690423	1	9651732	9729114	ENSG00000171608	PIK3CD	p36.22
319	9653598	1	9652610	9654586	ENSG00000179840	C1orf200	p36.22
320	9661727	1	9660828	9662626	ENSG00000233268	RP11-558F24.2	p36.22
321	9679990	1	9672426	9687555	ENSG00000231789	RP11-558F24.4	p36.22
322	9776776	1	9729026	9824526	ENSG00000171603	CLSTN1	p36.22
323	9781031	1	9780822	9781240	ENSG00000271264	RP11-558F24.6	p36.22
324	9827280	1	9826289	9828271	ENSG00000280113	RP11-84A14.7	p36.22
325	9879306	1	9848276	9910336	ENSG00000178585	CTNNBIP1	p36.22
326	9849236	1	9848318	9850154	ENSG00000223989	RP11-84A14.5	p36.22
327	9932760	1	9922113	9943407	ENSG00000162441	LZIC	p36.22
328	9946448	1	9942923	9949974	ENSG00000228150	RP11-84A14.4	p36.22
329	9964464	1	9943428	9985501	ENSG00000173614	NMNAT1	p36.22
330	9947477	1	9947318	9947636	ENSG00000202415	RN7SKP269	p36.22
331	9955679	1	9950572	9960787	ENSG00000283611	RP11-84A14.6	p36.22
332	9967419	1	9967381	9967458	ENSG00000265521	MIR5697	p36.22
333	9983854	1	9983141	9984568	ENSG00000241326	RP11-807G9.2	p36.22
334	10006613	1	9997206	10016020	ENSG00000162444	RBP7	p36.22
335	10107035	1	10032832	10181239	ENSG00000130939	UBE4B	p36.22
336	10054613	1	10054445	10054781	ENSG00000224340	RP11-496H15.2	p36.22
337	10059159	1	10058671	10059648	ENSG00000233623	RP11-496H15.3	p36.22
338	10163321	1	10163268	10163374	ENSG00000201746	RNU6-828P	p36.22
339	10296204	1	10210805	10381603	ENSG00000054523	KIF1B	p36.22
340	10227760	1	10227718	10227803	ENSG00000264881	MIR1273D	p36.22
341	10299019	1	10298966	10299072	ENSG00000199562	RNU6-37P	p36.22
342	10306611	1	10306465	10306757	ENSG00000264501	RN7SL731P	p36.22
343	10384528	1	10381906	10387150	ENSG00000284735	RP4-736L20.4	p36.22
344	10396424	1	10395416	10397432	ENSG00000284642	RP4-736L20.5	p36.22
345	10409368	1	10398592	10420144	ENSG00000142657	PGD	p36.22
346	10430279	1	10429881	10430677	ENSG00000271989	RP4-736L20.3	p36.22
347	10441127	1	10430102	10452153	ENSG00000251503	APITD1-CORT	p36.22
348	10436626	1	10430443	10442809	ENSG00000175279	CENPS	p36.22
349	10450810	1	10449719	10451902	ENSG00000241563	CORT	p36.22
350	10464524	1	10456522	10472526	ENSG00000160049	DFFA	p36.22
351	10458946	1	10458555	10459338	ENSG00000203469	RP5-1113E3.3	p36.22
352	10551523	1	10472288	10630758	ENSG00000142655	PEX14	p36.22
353	10616975	1	10616836	10617115	ENSG00000243267	RN7SL614P	p36.22
354	10716627	1	10636604	10796650	ENSG00000130940	CASZ1	p36.22
355	10646787	1	10639241	10654333	ENSG00000272078	RP4-734G22.3	p36.22
356	10895879	1	10895761	10895998	ENSG00000225158	RP11-340B24.3	p36.22
357	10964254	1	10946471	10982037	ENSG00000175262	C1orf127	p36.22
358	10991387	1	10990978	10991797	ENSG00000215785	CFLP6	p36.22
359	11019382	1	11012344	11026420	ENSG00000120948	TARDBP	p36.22
360	11021595	1	11012662	11030528	ENSG00000277726	RP4-635E18.9	p36.22
361	11036878	1	11026523	11047233	ENSG00000009724	MASP2	p36.22
362	11030093	1	11029659	11030528	ENSG00000271895	RP4-635E18.8	p36.22
363	11057304	1	11054584	11060024	ENSG00000116649	SRM	p36.22
364	11083249	1	11066618	11099881	ENSG00000171824	EXOSC10	p36.22
365	11070784	1	11068471	11073097	ENSG00000226849	RP4-635E18.7	p36.22
366	11100887	1	11099675	11102100	ENSG00000230337	RP4-635E18.6	p36.22
367	11184521	1	11106535	11262507	ENSG00000198793	MTOR	p36.22
368	11146717	1	11143898	11149537	ENSG00000225602	RP11-99P18.1	p36.22
369	11152401	1	11152350	11152452	ENSG00000253086	RNU6-537P	p36.22
370	11192661	1	11189341	11195981	ENSG00000171819	ANGPTL7	p36.22
371	11226307	1	11226254	11226360	ENSG00000207451	RNU6-291P	p36.22
